,token,lemma,basic_pos_tag,advanced_pos_tag,gender,singularity,person,derivation
98,रिटायरमेण्ट,रिटायरमेण्ट,n,NN,m,sg,3,0
99,कैसा,कैसा,pn,WQ,m,sg,3,-
100,कट,कट,v,VM,m,sg,3,0_रह+या_है
101,रहा,रह,v,VAUX,m,sg,any,या
102,है,है,v,VAUX,any,sg,3,है
103,दमादों,दमाद,n,NN,m,pl,3,0_के_साथ
104,के,के,psp,PSP,-,-,-,-
105,साथ,साथ,nst,NST,m,sg,3,-
106,।,।,punc,SYM,-,-,-,-
107,।,।,punc,SYM,-,-,-,-
108,भईया,भईया,n,NN,m,sg,3,0
109,तुम,तुम,pn,PRP,any,sg,2,0
110,तो,तो,avy,RP,-,-,-,-
111,स्वर्ग,स्वर्ग,n,NN,m,sg,3,0_का
112,का,का,psp,PSP,m,sg,-,-
113,सुख,सुख,n,NN,m,sg,3,0
114,भोग,भोग,v,VM,any,sg,any,0_रह+या_हो+गा
115,रहे,रह,v,VAUX,any,sg,any,या
116,होगे,हो,v,VAUX,m,sg,any,गा
117,?,?,punc,SYM,-,-,-,-
118,?,?,punc,SYM,-,-,-,-
119,धूलीचन्द,धूलीचन्द,n,NNP,m,sg,3,0_का
120,की,का,psp,PSP,f,pl,-,-
121,बातें,बात,n,NN,f,pl,3,0
122,सुनकर,सुन,v,VM,any,any,any,कर
123,भीखनरायन,भीखनरायन,n,NNP,m,sg,3,0_का
124,की,का,psp,PSP,f,pl,-,-
125,आंखें,आंख,n,NN,f,pl,3,0
126,भर,भर,v,VM,any,pl,any,0_आ+या
127,आयीं,आ,v,VAUX,f,pl,any,या
128,।,।,punc,SYM,-,-,-,-
129,।,।,punc,SYM,-,-,-,-
130,वह,वह,pn,PRP,any,sg,3,0
131,गमछा,गमछा,n,NN,m,sg,3,0_से
132,से,से,psp,PSP,-,-,-,-
133,आंखों,आंख,n,NN,f,pl,3,0_का
134,की,का,psp,PSP,f,sg,-,-
135,बाढ,बाढ,n,NN,f,sg,3,0
136,रोकते,रोक,v,VM,m,sg,any,ता_हो+या
137,हुए,हो,v,VAUX,m,sg,any,या
138,बोला,बोल,v,VM,m,sg,any,या
139,भईया,भईया,n,NN,m,sg,3,0
140,नरक,नरक,n,NN,m,sg,3,0
141,भोग,भोग,v,VM,m,sg,1,0_रह+या_है
142,रहा,रह,v,VAUX,m,sg,any,या
143,हूं,है,v,VAUX,any,sg,1,है
144,।,।,punc,SYM,-,-,-,-
145,।,।,punc,SYM,-,-,-,-
146,धूलीचन्द,धूलीचन्द,n,NNP,m,sg,3,0
147,-,-,punc,SYM,-,-,-,-
148,स्वर्ग,स्वर्ग,n,NN,m,sg,3,0_का
149,के,का,psp,PSP,m,sg,-,-
150,सुख,सुख,n,NN,m,sg,3,0_का
151,की,का,psp,PSP,f,sg,-,-
152,चाह,चाह,n,NN,f,sg,3,0_में
153,में,में,psp,PSP,-,-,-,-
154,भाई,भाई,n,NNC,m,pl,3,0
155,-,-,punc,SYM,-,-,-,-
156,भतीजों,भतीजा,n,NN,m,pl,3,0_का
157,का,का,psp,PSP,m,sg,-,-
158,कागजी,कागजी,adj,JJ,any,any,-,-
159,कत्ल,कत्ल,n,NN,m,sg,3,0
160,करवाकर,कर,v,VM,any,any,any,कर
161,।,।,punc,SYM,-,-,-,-
162,।,।,punc,SYM,-,-,-,-
163,हक,हक,n,NNC,m,sg,3,0
164,-,-,punc,SYM,-,-,-,-
165,हिस्सा,हिस्सा,n,NN,m,sg,3,0_तक
166,तक,तक,psp,PSP,-,-,-,-
167,हड़पकर,हडप,v,VM,any,any,any,कर
168,।,।,punc,SYM,-,-,-,-
169,।,।,punc,SYM,-,-,-,-
170,सगे,सगा,adj,JJ,m,pl,-,-
171,बेटी,बेटी,n,NNC,f,sg,3,0
172,-,-,punc,SYM,-,-,-,-
173,दमाद,दमाद,n,NN,m,sg,3,0
174,और,और,avy,CC,-,-,-,-
175,सौतेली,सौतेला,adj,JJ,f,sg,-,-
176,बेटी,बेटी,n,NNC,f,sg,3,0
177,दमाद,दमाद,n,NN,m,sg,3,0_को
178,को,को,psp,PSP,-,-,-,-
179,वारिस,वारिस,n,NN,m,sg,3,0
180,बना,बना,v,VM,any,sg,any,0_दे+या
181,दिये,दे,v,VAUX,m,sg,any,या
182,।,।,punc,SYM,-,-,-,-
183,।,।,punc,SYM,-,-,-,-
184,आज,आज,n,NN,m,sg,3,0
185,खुद,खुद,pn,PRP,-,-,-,0_का
186,के,का,psp,PSP,m,sg,-,-
187,रचे,रच,v,VM,any,sg,3,या
188,चक्रव्यूह,चक्रव्यूह,n,NN,m,sg,3,0_में
189,में,में,psp,PSP,-,-,-,-
190,फंस,फँस,v,VM,any,sg,3h,0_जा+या1
191,गये,जा,v,VAUX,m,sg,3h,या1
192,।,।,punc,SYM,-,-,-,-
193,।,।,punc,SYM,-,-,-,-
194,आंसू,आँसू,n,NN,m,sg,3,0_से
195,से,से,psp,PSP,-,-,-,-
196,रोटी,रोटी,n,NN,f,sg,3,0
197,गीली,गीला,adj,JJ,f,sg,-,-
198,कर,कर,v,VM,any,sg,2,0_रह+या_है+ओ
199,रहे,रह,v,VAUX,any,sg,any,या
200,हो,है,v,VAUX,any,sg,2,ओ
201,।,।,punc,SYM,-,-,-,-
202,।,।,punc,SYM,-,-,-,-
203,भईया,भईया,n,NN,m,sg,3,0
204,उधार,उधार,n,NN,m,sg,3,0_का
205,की,का,psp,PSP,f,sg,-,-
206,ममता,ममता,n,NN,f,sg,3,0_में
207,में,में,psp,PSP,-,-,-,-
208,बर्बादी,बर्बादी,n,NN,f,sg,3,0_का
209,के,का,psp,PSP,m,pl,-,-
210,बीज,बीज,n,NN,m,pl,3,0
211,क्यों,क्यों,pn,WQ,-,-,-,-
212,बो,बो,v,VM,any,pl,any,0_दे+या
213,दिये,दे,v,VAUX,m,pl,any,या
214,।,।,punc,SYM,-,-,-,-
215,।,।,punc,SYM,-,-,-,-
216,आज,आज,n,NN,m,sg,3,0
217,दर,दर,n,NN,m,sg,3,0_का
218,-,-,punc,SYM,-,-,-,-
219,दर,दर,n,RDP,m,sg,3,0
220,की,का,psp,PSP,f,pl,-,-
221,ठोकरें,ठोकर,n,NN,f,pl,3,0
222,खा,खा,v,VM,any,sg,2,0_रह+या_है+ओ
223,रहे,रह,v,VAUX,any,sg,any,या
224,हो,है,v,VAUX,any,sg,2,ओ
225,।,।,punc,SYM,-,-,-,-
226,।,।,punc,SYM,-,-,-,-
227,मुझे,मैं,pn,PRP,any,sg,1,को
228,मुझे,मैं,pn,PRP,any,sg,1,को
229,मालूम,मालूम,adj,JJ,any,any,-,-
230,हो,हो,v,VM,m,sg,3,0_जा+या1_है
231,गया,जा,v,VAUX,m,sg,any,या1
232,है,है,v,VAUX,any,sg,3,है
233,जिस,जो,pn,DEM,any,sg,3,-
234,भाई,भाई,n,NN,m,sg,3,0
235,अधीरनरायन,अधीरनरायन,n,NNP,m,sg,3,0_का
236,की,का,psp,PSP,f,sg,-,-
237,चौखट,चौखट,n,NN,f,sg,3,0_को
238,को,को,psp,PSP,-,-,-,-
239,उखाड़,उखाड,v,VM,any,sg,any,0_फेंक+ना_का
240,फेंकने,फेंक,v,VAUX,any,any,any,ना
241,की,का,psp,PSP,f,sg,-,-
242,सौगन्ध,सौगंध,n,NN,f,sg,3,0
243,खा,खा,v,VM,any,any,any,0_कर
244,कर,कर,v,VAUX,any,any,any,0
245,गये,जा,v,VM,m,sg,2,या1_था
246,थे,था,v,VAUX,m,sg,2,था
247,उस,वह,pn,DEM,any,sg,3,-
248,चौखट,चौखट,n,NN,f,sg,3,0_का
249,की,का,psp,PSP,f,sg,-,-
250,छांव,छांव,n,NN,f,sg,3,0_में
251,में,में,psp,PSP,-,-,-,-
252,तुम,तुम,pn,PRP,any,sg,2,0
253,खुशी,खुशी,n,NN,f,sg,3,0_से
254,से,से,psp,PSP,-,-,-,-
255,तो,तो,avy,RP,-,-,-,-
256,नहीं,नहीं,avy,NEG,-,-,-,-
257,आये,आ,v,VM,any,sg,2,या_हो+गा
258,होगे,हो,v,VAUX,m,sg,2,गा
259,।,।,punc,SYM,-,-,-,-
260,।,।,punc,SYM,-,-,-,-
261,भीखनरायन,भीखनरायन,n,NNP,m,sg,3,0
262,-,-,punc,SYM,-,-,-,-
263,हां,हाँ,avy,INJ,-,-,-,-
264,धूलीचन्द,धूलीचन्द,n,NNP,m,sg,3,0
265,अब,अब,pn,PRP,-,-,-,-
266,यही,यही,pn,DEM,any,sg,3,-
267,दरवाजा,दरवाजा,n,NN,m,sg,3,0
268,खुला,खुल,v,VM,m,sg,3,या_है
269,है,है,v,VAUX,any,sg,3,है
270,है,है,v,VAUX,any,sg,3,है
271,बाकी,बाकी,adj,JJ,any,any,-,-
272,तो,तो,avy,RP,-,-,-,-
273,बन्द,बंद,adj,JJ,any,any,-,-
274,हो,हो,v,VM,m,pl,3,0_चुक+या_है
275,चुके,चुक,v,VAUX,m,pl,any,या
276,हैं,है,v,VAUX,any,pl,3,है
277,।,।,punc,SYM,-,-,-,-
278,।,।,punc,SYM,-,-,-,-
279,सौतेले,सौतेला,adj,JJ,m,sg,-,-
280,दमाद,दमाद,n,NN,m,sg,3,0
281,प्रभु,प्रभु,n,NNP,m,sg,3,0_ने
282,ने,ने,psp,PSP,-,-,-,-
283,तो,तो,avy,RP,-,-,-,-
284,मेरे,मैं,pn,PRP,m,sg,1,का
285,रिटायरमेण्ट,रिटायरमेण्ट,n,NN,m,sg,3,0_का
286,की,का,psp,PSP,f,sg,-,-
287,रकम,रकम,n,NN,f,sg,3,0
288,अंगूठा,अंगूठा,n,NN,m,sg,3,0
289,लगवाकर,लग,v,VM,any,any,any,कर
290,हड़प,हडप,v,VM,any,sg,any,0_ले+या
291,ली,ले,v,VAUX,f,sg,any,या
292,।,।,punc,SYM,-,-,-,-
293,।,।,punc,SYM,-,-,-,-
294,थाने,थाना,n,NN,m,sg,3,0_में
295,में,में,psp,PSP,-,-,-,-
296,गुहार,गुहार,n,NN,f,sg,3,0
297,लगाया,लगा,v,VM,m,sg,any,या
298,पर,पर,avy,CC,-,-,-,-
299,कोई,कोई,pn,PRP,any,sg,3,0
300,सुनवाई,सुनवाई,n,NN,f,sg,3,0
301,अभी,अभी,pn,PRP,-,-,-,-
302,तक,तक,avy,RP,-,-,-,-
303,नहीं,नहीं,avy,NEG,-,-,-,-
304,हुई,हो,v,VM,f,sg,any,या
305,।,।,punc,SYM,-,-,-,-
306,।,।,punc,SYM,-,-,-,-
307,सगे,सगा,adj,JJ,m,pl,-,-
308,बेटी,बेटी,n,NNC,f,sg,3,0
309,दमाद,दमाद,n,NN,m,sg,3,0_के_लिये
310,के,के,psp,PSP,-,-,-,-
311,लिये,लिये,psp,PSP,-,-,-,-
312,भी,भी,avy,RP,-,-,-,-
313,छूछा,छूछा,adj,JJ,m,sg,-,-
314,हो,हो,v,VM,m,sg,1,0_जा+या1_है
315,गया,जा,v,VAUX,m,sg,any,या1
316,हूं,है,v,VAUX,any,sg,1,है
317,।,।,punc,SYM,-,-,-,-
318,।,।,punc,SYM,-,-,-,-
319,कहते,कह,v,VM,m,pl,any,ता_है
320,हैं,है,v,VAUX,any,pl,any,है
321,न,न,avy,RP,-,-,-,-
322,छूछा,छूछा,n,NN,m,sg,3,0_को
323,को,को,psp,PSP,-,-,-,-
324,कौन,कौन,pn,WQ,-,-,-,-
325,पूछा,पूछ,v,VM,m,sg,any,या
326,।,।,punc,SYM,-,-,-,-
327,।,।,punc,SYM,-,-,-,-
328,धूलीचन्द,धूलीचन्द,n,NNP,m,sg,3,0
329,-,-,punc,SYM,-,-,-,-
330,सबसे,सबसे,avy,INTF,-,-,-,-
331,ज्यादा,ज्यादा,avy,QF,-,-,-,-
332,प्रिय,प्रिय,adj,JJ,any,any,-,-
333,तो,तो,avy,RP,-,-,-,-
334,तुम्हारा,तुम,pn,PRP,m,sg,2,का
335,प्रभुवा,प्रभुवा,n,NNP,m,sg,3,0
336,दमाद,दमाद,n,NN,m,sg,3,0
337,था,था,v,VM,m,sg,any,था
338,।,।,punc,SYM,-,-,-,-
339,।,।,punc,SYM,-,-,-,-
340,वही,वह,pn,PRP,any,sg,3,0
341,धोखेबाज,धोखेबाज,adj,JJ,any,any,-,-
342,निकला,निकल,v,VM,m,sg,any,या
343,।,।,punc,SYM,-,-,-,-
344,।,।,punc,SYM,-,-,-,-
345,सदर,सदर,n,NNC,m,sg,3,0
346,तहसील,तहसील,n,NN,f,sg,3,0_में
347,में,में,psp,PSP,-,-,-,-
348,सी.,सी.,n,NNC,m,sg,3,0
349,आर.,आर.,n,NNC,m,sg,3,0
350,ओ.,ओ.,n,NN,m,sg,3,0
351,होकर,हो,v,VM,any,any,any,कर
352,भी,भी,avy,RP,-,-,-,-
353,ऐसी,ऐसा,pn,DEM,f,sg,3,-
354,नीचता,नीचता,n,NN,f,sg,3,0
355,कर,कर,v,VM,any,sg,any,0_जा+या1
356,गया,जा,v,VAUX,m,sg,any,या1
357,।,।,punc,SYM,-,-,-,-
358,।,।,punc,SYM,-,-,-,-
359,दगाबाज,दगाबाज,adj,JJ,any,any,-,-
360,प्रभु,प्रभु,n,NNP,m,sg,3,0_ने
361,ने,ने,psp,PSP,-,-,-,-
362,तो,तो,avy,RP,-,-,-,-
363,अंधे,अंधा,n,NN,m,sg,3,0_का
364,की,का,psp,PSP,f,sg,-,-
365,लाठी,लाठी,n,NN,f,sg,3,0
366,ही,ही,avy,RP,-,-,-,-
367,तोड़,तोड,v,VM,any,sg,any,0_दे+या
368,दी,दे,v,VAUX,f,sg,any,या
369,।,।,punc,SYM,-,-,-,-
370,।,।,punc,SYM,-,-,-,-
371,भईया,भईया,n,NN,m,sg,3,0
372,दुनिया,दुनिया,n,NN,f,sg,3,0_में
373,में,में,psp,PSP,-,-,-,-
374,सब,सब,avy,QF,-,-,-,-
375,तुम्हारे,तुम,pn,PRP,m,sg,2,का
376,बेटी,बेटी,n,NNC,f,sg,3,0
377,दमाद,दमाद,n,NN,m,sg,3,0_जैसा
378,जैसे,जैसा,psp,PSP,m,pl,-,-
379,ही,ही,avy,RP,-,-,-,-
380,लोग,लोग,n,NN,m,pl,3,0
381,नहीं,नहीं,avy,NEG,-,-,-,-
382,होते,हो,v,VM,m,pl,any,ता
383,।,।,punc,SYM,-,-,-,-
384,।,।,punc,SYM,-,-,-,-
385,लोग,लोग,n,NN,m,pl,3,0
386,छूछे,छूछा,n,NN,m,sg,3,0_को
387,को,को,psp,PSP,-,-,-,-
388,भी,भी,avy,RP,-,-,-,-
389,पूछते,पूछ,v,VM,m,pl,3,ता_है
390,हैं,है,v,VAUX,any,pl,3,है
391,हैं,है,v,VAUX,any,pl,3,है
392,तभी,तभी,pn,PRP,-,-,-,-
393,तो,तो,avy,RP,-,-,-,-
394,यहां,यहाँ,pn,PRP,-,-,-,-
395,बैठे,बैठ,v,VM,any,sg,2,या_है+ओ
396,हो,है,v,VAUX,any,sg,2,ओ
397,।,।,punc,SYM,-,-,-,-
398,।,।,punc,SYM,-,-,-,-
399,सब,सब,pn,PRP,m,pl,3,0
400,माया,माया,n,NN,f,sg,3,0_के_पीछे
401,के,के,psp,PSP,-,-,-,-
402,पीछे,पीछे,nst,NST,m,sg,3,-
403,नहीं,नहीं,avy,NEG,-,-,-,-
404,भागते,भाग,v,VM,m,pl,any,ता
405,।,।,punc,SYM,-,-,-,-
406,।,।,punc,SYM,-,-,-,-
407,सन्तोष,संतोष,n,NN,m,sg,3,0
408,बहुत,बहुत,avy,INTF,-,-,-,-
409,बड़ा,बडा,adj,JJ,m,sg,-,-
410,सुख,सुख,n,NN,m,sg,3,0
411,है,है,v,VM,any,sg,3,है
412,।,।,punc,SYM,-,-,-,-
413,।,।,punc,SYM,-,-,-,-
414,उसी,वह,pn,DEM,any,sg,3,-
415,सन्तोष,संतोष,n,NN,m,sg,3,0_का
416,का,का,psp,PSP,m,sg,-,-
417,फल,फल,n,NN,m,sg,3,0
418,अधीरनरायन,अधीरनरायन,n,NNP,m,sg,3,0
419,भईया,भईया,n,NN,m,sg,3,0_को
420,को,को,psp,PSP,-,-,-,-
421,मिल,मिल,v,VM,m,sg,3,0_रह+या_है
422,रहा,रह,v,VAUX,m,sg,any,या
423,है,है,v,VAUX,any,sg,3,है
424,।,।,punc,SYM,-,-,-,-
425,।,।,punc,SYM,-,-,-,-
426,तुम,तुम,pn,PRP,any,sg,2,0
427,तो,तो,avy,RP,-,-,-,-
428,जानते,जान,v,VM,m,sg,2,ता_है+ओ
429,हो,है,v,VAUX,any,sg,2,ओ
430,तुम्हारे,तुम,pn,PRP,m,sg,2,का
431,फेंक,फेंक,v,VM,any,sg,3,0_दे+ना_के_बाद
432,देने,दे,v,VAUX,any,any,any,ना
433,के,के,psp,PSP,-,-,-,-
434,बाद,बाद,nst,NST,m,sg,3,-
435,कितनी,कितना,adj,QF,f,pl,-,-
436,मुसीबतें,मुसीबत,n,NN,f,pl,3,0
437,अधीरनरायन,अधीरनरायन,n,NNP,m,sg,3,0
438,भईया,भईया,n,NN,m,sg,3,0_के_ऊपर
439,के,के,psp,PSP,-,-,-,-
440,ऊपर,ऊपर,nst,NST,m,sg,3,-
441,आयी,आ,v,VM,f,pl,any,या
442,।,।,punc,SYM,-,-,-,-
443,।,।,punc,SYM,-,-,-,-
444,बच्चों,बच्चा,n,NN,m,pl,3,0_को
445,को,को,psp,PSP,-,-,-,-
446,पेट,पेट,n,NN,m,sg,3,0
447,भर,भर,avy,RP,-,-,-,-
448,रोटी,रोटी,n,NN,f,sg,3,0
449,नहीं,नहीं,avy,NEG,-,-,-,-
450,मिलती,मिल,v,VM,f,sg,any,ता_था
451,थी,था,v,VAUX,f,sg,any,था
452,।,।,punc,SYM,-,-,-,-
453,।,।,punc,SYM,-,-,-,-
454,गरीबी,गरीबी,n,NN,f,sg,3,0
455,और,और,avy,CC,-,-,-,-
456,तुम्हारी,तुम,pn,PRP,f,sg,2,का
457,दगाबाजी,दगाबाजी,n,NN,f,sg,3,0_से
458,से,से,psp,PSP,-,-,-,-
459,आहत,आहत,adj,JJ,any,any,-,-
460,बुढिया,बुढिया,n,NN,f,sg,3,0
461,दम,दम,n,NN,m,sg,3,0
462,तोड़,तोड,v,VM,any,sg,any,0_दे+या
463,दी,दे,v,VAUX,f,sg,any,या
464,।,।,punc,SYM,-,-,-,-
465,।,।,punc,SYM,-,-,-,-
466,देखो,देख,avy,INJ,-,-,-,-
467,दरिद्र,दरिद्र,adj,JJ,any,any,-,-
468,अधीरनरायन,अधीरनरायन,n,NNP,m,sg,3,0
469,भईया,भईया,n,NN,m,sg,3,0
470,आज,आज,n,NN,m,sg,3,0
471,सचमुच,सचमुच,adv,RB,-,-,-,-
472,स्वर्ग,स्वर्ग,n,NN,m,sg,3,0_का
473,का,का,psp,PSP,m,sg,-,-
474,सुख,सुख,n,NN,m,sg,3,0
475,भोग,भोग,v,VM,any,sg,3h,0_रह+या_है
476,रहे,रह,v,VAUX,any,sg,any,या
477,हैं,है,v,VAUX,any,sg,3h,है
478,।,।,punc,SYM,-,-,-,-
479,।,।,punc,SYM,-,-,-,-
480,तुम,तुम,pn,PRP,any,sg,2,0
481,हक,हक,n,NNC,m,sg,3,0
482,-,-,punc,SYM,-,-,-,-
483,हिस्सा,हिस्सा,n,NN,m,sg,3,0
484,हड़प,हडप,v,VM,any,any,any,0_कर
485,कर,कर,v,VAUX,any,any,any,0
486,बने,बन,v,VM,any,sg,any,या
487,धनवान,धनवान,n,NN,m,sg,3,0
488,नरक,नरक,n,NN,m,sg,3,0
489,भोग,भोग,v,VM,any,sg,2,0_रह+या_है+ओ
490,रहे,रह,v,VAUX,any,sg,any,या
491,हो,है,v,VAUX,any,sg,2,ओ
492,।,।,punc,SYM,-,-,-,-
493,।,।,punc,SYM,-,-,-,-
494,भीखनरायन,भीखनरायन,n,NNP,m,sg,3,0
495,-,-,punc,SYM,-,-,-,-
496,बुढिया,बुढिया,n,NN,f,sg,3,0_का
497,की,का,psp,PSP,f,sg,-,-
498,जिद,जिद,n,NN,f,sg,3,0_के_आगे
499,के,के,psp,PSP,-,-,-,-
500,आगे,आगे,nst,NST,m,sg,3,-
501,मेरी,मैं,pn,PRP,f,sg,3,का
502,एक,एक,num,QC,any,any,-,-
503,ना,ना,avy,NEG,-,-,-,-
504,चली,चल,v,VM,f,sg,any,या
505,धूलीचन्द,धूलीचन्द,n,NNP,m,sg,3,0
506,।,।,punc,SYM,-,-,-,-
507,।,।,punc,SYM,-,-,-,-
508,वह,वह,pn,PRP,any,sg,3,0
509,तो,तो,avy,RP,-,-,-,-
510,स्वर्ग,स्वर्ग,n,NN,m,sg,3,0
511,सिधार,सिधार,v,VM,any,sg,any,0_जा+या1
512,गयी,जा,v,VAUX,f,sg,any,या1
513,।,।,punc,SYM,-,-,-,-
514,।,।,punc,SYM,-,-,-,-
515,मैं,मैं,pn,PRP,any,sg,1,0
516,नरक,नरक,n,NN,m,sg,3,0_का
517,का,का,psp,PSP,m,sg,-,-
518,जीवन,जीवन,n,NN,m,sg,3,0
519,जी,जी,v,VM,m,sg,1,0_रह+या_है
520,रहा,रह,v,VAUX,m,sg,any,या
521,हूं,है,v,VAUX,any,sg,1,है
522,।,।,punc,SYM,-,-,-,-
523,।,।,punc,SYM,-,-,-,-
524,सन्तोष,संतोष,n,NN,m,sg,3,0_का
525,के,का,psp,PSP,m,sg,-,-
526,फल,फल,n,NN,m,sg,3,0_का
527,की,का,psp,PSP,f,sg,-,-
528,महिमा,महिमा,n,NN,f,sg,3,0
529,समझ,समझ,n,NN,f,sg,3,0_में
530,में,में,psp,PSP,-,-,-,-
531,आ,आ,v,VM,f,sg,3,0_जा+या1_है
532,गयी,जा,v,VAUX,f,sg,any,या1
533,है,है,v,VAUX,any,sg,3,है
534,।,।,punc,SYM,-,-,-,-
535,।,।,punc,SYM,-,-,-,-
536,जमीन,जमीन,n,NNC,f,sg,3,0
537,-,-,punc,SYM,-,-,-,-
538,जायदाद,जायदाद,n,NN,f,sg,3,0
539,सबसे,सबसे,pn,PRP,any,pl,3,से
540,अधीरनरायन,अधीरनरायन,n,NNP,m,sg,3,0_को
541,को,को,psp,PSP,-,-,-,-
542,बेदखल,बेदखल,adj,JJ,any,any,-,-
543,कर,कर,v,VM,any,sg,any,0_दे+या
544,दिया,दे,v,VAUX,m,sg,any,या
545,।,।,punc,SYM,-,-,-,-
546,।,।,punc,SYM,-,-,-,-
547,देखो,देख,avy,INJ,-,-,-,-
548,वही,वह,pn,DEM,any,sg,3,-
549,भाई,भाई,n,NN,m,sg,3,0
550,चैन,चैन,n,NN,m,sg,3,0_का
551,की,का,psp,PSP,f,sg,-,-
552,रोटी,रोटी,n,NN,f,sg,3,0
553,खा,खा,v,VM,m,sg,3,0_रह+या_है
554,रहा,रह,v,VAUX,m,sg,any,या
